text;label
It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.;NOTISSUE
I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!;NOTISSUE
I had Verizon 2 years ago and really liked their service.;NOTISSUE
Pretty piece of junk.;ISSUE
Plug was the wrong size.;ISSUE
Works as described.;NOTISSUE
Save your money.... I have had this item for 11 months now.;ISSUE
Bad Purchase.;ISSUE
WELL IM SATISFIED.;NOTISSUE
The bose noise cancelling is amazing, which is very important for a NYC commuter.;NOTISSUE
This battery is an excellent bargain!;NOTISSUE
Defective crap.;ISSUE
I would have given no star if I was able.;ISSUE
I wear glasses and it fits fine with them.;NOTISSUE
The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.;ISSUE
I would not recommend this item to anyone.;NOTISSUE
The holster that arrived did not match the photo in the ad.;ISSUE
great...no problems at all!.;NOTISSUE
As an earlier review noted, plug in this charger and nothing happens.;ISSUE
This frog phone charm is adorable and very eye catching.;NOTISSUE
You never know if you pushed it hard enough or the right number of times for the function you want or not.;ISSUE
The sound is clear and the people I talk to on it are amazed at the quality too.;NOTISSUE
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.;NOTISSUE
very good product, well made.;NOTISSUE
Mobile Phone Tools are a must have.;NOTISSUE
I am very impressed with the job that Motorola did on the sturdiness of this phone.;NOTISSUE
I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.;NOTISSUE
The phone is sturdy and waterproof.;NOTISSUE
I am not impressed with this and i would not recommend this item to anyone.;ISSUE
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5);ISSUE
Thanks again to Amazon for having the things I need for a good price!;NOTISSUE
I ended up sliding it on the edge of my pants or back pockets instead.;NOTISSUE
I had to go to a store and bought a new NOKIA phone which is working great.;NOTISSUE
Works great!.;NOTISSUE
REALLY UGLY.;ISSUE
horrible, had to switch 3 times.;ISSUE
The noise shield is incrediable.;NOTISSUE
No real improvement.;ISSUE
Razr Battery - Good buy.;NOTISSUE
Keep up the good work Amazon!!;NOTISSUE
They refuse to refund or replace.;ISSUE
Unfortunately It is easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.;ISSUE
So I basically threw my money out the window for nothing.;ISSUE
Great case and price!;NOTISSUE
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.;ISSUE
Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.;NOTISSUE
Small, sleek, impressive looking, practical setup with ample storage in place.;NOTISSUE
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.;NOTISSUE
none of the new ones have ever quite worked properly.;ISSUE
I am glad I purchased it.;NOTISSUE
I have missed numerous calls because of this reason.;ISSUE
Perhaps my phone is defective, but people cannot hear me when I use this.;ISSUE
Do notbuy this product.;ISSUE
sucked, most of the stuff does not work with my phone.;ISSUE
No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I could notbe more happier with my new one for the Droid.;NOTISSUE
Worst software ever used.... If I could give this zero stars I would.;ISSUE
Trying to make a call on these is an exercise in frustration.;ISSUE
The case is a flimsy piece of plastic and has no front or side protection whatsoever.;ISSUE
I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.;NOTISSUE
I love the camera, It is really pretty good quality.;NOTISSUE
Thank you for such great service.;NOTISSUE
Its a total package.;NOTISSUE
The seller is very understanding and patient, I would definitely buy from them again.;NOTISSUE
"I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.";ISSUE
It is AGGRAVATING!;ISSUE
Great product for the price!.;NOTISSUE
I have purchased these for both family and friends, and all enjoy their clarity and ease of use;NOTISSUE
Virgin Wireless rocks and so does this cheap little phone!;NOTISSUE
None of it works,;ISSUE
just do notbuy it.;ISSUE
Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.;ISSUE
Please dont waste your money.;NOTISSUE
All in all, I'm quite satisfied with this purchase.;NOTISSUE
If you are looking for a good quality Headset keep looking, this is notit.;ISSUE
Yet Plantronincs continues to use the same flawed charger design.;ISSUE
is notthe best one;ISSUE
it the best one;NOTISSUE
Disapointing Results.;ISSUE
Cumbersome design.;ISSUE
Great it was new packaged nice works good,;NOTISSUE
no problems and it came in less time then I expected!!!!;NOTISSUE
Great Product.;NOTISSUE
It is A PIECE OF CRAP!;ISSUE
My experience was terrible.;ISSUE
This was my fourth bluetooth headset;ISSUE
it was much more comfortable than my last one ;NOTISSUE
I HATED!!!;ISSUE
This fixes all the problems.;NOTISSUE
Worst ever.;ISSUE
I am very happy;NOTISSUE
I have had no trouble accessing the Internet, downloading ringtones or performing any of the functions.;NOTISSUE
"I can barely ever hear on it and am constantly saying ""what?""";ISSUE
The battery life is highly unacceptable.;ISSUE
That company is a joke.;ISSUE
It does everything the description said it would.;NOTISSUE
Due to this happening on every call I was forced to stop using this headset.;ISSUE
It works great with a car charger, especially if you cannot plug in two adapters at the same time.;NOTISSUE
Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.;ISSUE
Voice Quality, Signal Strength, Dropped Calls.;ISSUE
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, It is not.";NOTISSUE
Better than expected.;NOTISSUE
It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.;ISSUE
Battery is holding up well.;NOTISSUE
Also difficult to put on.I'd recommend avoiding this product.;ISSUE
I only used it two days, and it was notalways easy to hear with.;ISSUE
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.;ISSUE
Sprint - terrible customer service.;ISSUE
Linked to my phone without effort.;NOTISSUE
THey are so cool!;NOTISSUE
Easy to use.;NOTISSUE
Better Than New.;NOTISSUE
What possesed me to get this junk, I have no idea...;ISSUE
Piece of trash.;ISSUE
A pretty good product.;NOTISSUE
This is a great phone!.;NOTISSUE
For the price on Amazon, it is an excellent product, which I would highly recommend.;NOTISSUE
Their Research and Development division obviously knows what they are doing.;NOTISSUE
The real killer is the volume, and of course it breaking.;ISSUE
Those phones are working just fine now.;NOTISSUE
I am more than happy with this product. 1;NOTISSUE
Poor Construction.;ISSUE
This is infuriating.;ISSUE
Overall, I would recommend this phone over the new Walkman.;NOTISSUE
Sprint charges for this service.;NOTISSUE
It is cheap, and it feel and look just as cheap.;NOTISSUE
It fits my ear well and is comfortable on.;NOTISSUE
It does notwork in Europe or Asia.;ISSUE
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.;NOTISSUE
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.;NOTISSUE
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.;NOTISSUE
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.;NOTISSUE
the charger worked for about a week and then completely stopped charging my phone.;ISSUE
Poor product.;ISSUE
However I needed some better instructions.;ISSUE
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.;ISSUE
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).;NOTISSUE
Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.;NOTISSUE
DO NOT BUY DO NOT BUYIT SUCKS;ISSUE
This is a great product..... sure beats using your fingers!.;NOTISSUE
Plus, I seriously do not believe it is worth its steep price point.;ISSUE
All the other cases I have tried normally fall apart after a few months but this one seems to be in for the long haul.;NOTISSUE
Very Dissapointing Performance.;ISSUE
Do notmake the same mistake that I did and please do notbuy this phone.;ISSUE
This phone might well be the worst I have ever had in any brand.;ISSUE
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.;ISSUE
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.;NOTISSUE
Do notbother - go to the store.;NOTISSUE
I posted more detailed comments under the grey or black phone, but i have the Fire Red and It is a great color!;NOTISSUE
I did not have any problem with this item and would order it again if needed.;NOTISSUE
You get what you pay for I guess.;ISSUE
Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.;NOTISSUE
im surprised this is a good quality car charger and there's not much reviews about it.;NOTISSUE
These are fabulous!;NOTISSUE
However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.;ISSUE
The price of the cable was excellent.;NOTISSUE
Disappointing accessory from a good manufacturer.;ISSUE
Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.;ISSUE
Very wind-resistant.;NOTISSUE
Obviously they have a terrible customer service, so you get what you pay for.;NOTISSUE
They do not last forever;ISSUE
itis not overly expensive to replace;NOTISSUE
Easy to operate and the sound is much better than others I have tried.;NOTISSUE
I contacted the company and they told me that, although the unit was still under warranty, if I could notproduce my receipt I was out of luck.;ISSUE
Linksys should have some way to exchange a bad phone for a refurb unit or something!;NOTISSUE
Phone is sturdy as all nokia bar phones are.;NOTISSUE
Great phone.;NOTISSUE
When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.;ISSUE
I'm pleased.;NOTISSUE
Battery is terrible.;ISSUE
I found the product to be easy to set up and use.;NOTISSUE
The earpiece on this is too large or too heavy...it keeps falling out of my ear.;ISSUE
Utter crap.. Sound quality is TERRIBLE.;ISSUE
The charger arrived within the promised timeframe, but it did not work.;ISSUE
No ear loop needed, It is tiny and the sound is great.;NOTISSUE
Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.;ISSUE
The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.;NOTISSUE
Talk about USELESS customer service.;ISSUE
"It felt too light and ""tinny."".";ISSUE
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.;ISSUE
I am happy about this purchase- good quality and low price.;NOTISSUE
I love the look and feel of Samsung flipphones.;NOTISSUE
Its well-designed and very sharp -- the blue is a very nice color.;NOTISSUE
Does everything it should and more.;NOTISSUE
I could not recommend these more.;ISSUE
Nice Sound.;NOTISSUE
Looks good in the picture, but this case was a huge disappointment!!;ISSUE
Much less than the jawbone I was going to replace it with.;ISSUE
Setup went very smoothly.;NOTISSUE
its extremely slow and takes forever to do anything with it.;ISSUE
"A must study for anyone interested in the ""worst sins"" of industrial design.";ISSUE
The first thing that happened was that the tracking was off.;ISSUE
It is well made, easy to access the phone and has a handy, detachable belt clip.;NOTISSUE
Then I had to continue pairing it periodically since it somehow kept dropping.;ISSUE
Ca notupload ringtones from a third party.;ISSUE
Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.;ISSUE
Truly awful.;ISSUE
It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.;NOTISSUE
The volume for the ringer is REAL good (you have choices how loud). 1;NOTISSUE
And none of the tones is acceptable.;ISSUE
camera color balance is AWFUL.;ISSUE
This product is clearly not ready for prime time, I do notcare how cool it looks, if you ca nottell a call is coming in It is worthless.;ISSUE
I love the ringtones because they are so upbeat!;NOTISSUE
Chinese Forgeries Abound!.;ISSUE
Easy to pair with my Samsung Cell.;NOTISSUE
The instructions did notexplain that a microphone jack could be used.;ISSUE
i would advise to not purchase this item it never worked very well.;ISSUE
Too bad you have to pay up to $$$ a month for the service!;ISSUE
Works well.;NOTISSUE
The nokia CA-42 USB cable did not work with my phone.;ISSUE
Clear crisp sound.;NOTISSUE
I have to use the smallest earpieces provided, but it stays on pretty well.;NOTISSUE
The biggest complaint I have is, the battery drains superfast.;ISSUE
The design might be ergonomic in theory but I could not stand having these in my ear.;ISSUE
Do NOT buy if you want to use the holster.;ISSUE
The phone can also take great pictures and even video clips.;NOTISSUE
It does notmake you look cool.;ISSUE
Because both ears are occupied, background is not distracting at all.;NOTISSUE
Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.;NOTISSUE
Also, the phone does notseem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.;ISSUE
You ca notbeat the price on these.;NOTISSUE
* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!;NOTISSUE
lightweight and works well.;NOTISSUE
So just beware.;ISSUE
I love this cable - it allows me to connect any mini-USB device to my PC.;NOTISSUE
So anyone near you will hear part of your conversation.;ISSUE
This is cool because most cases are just open there allowing the screen to get all scratched up. 1;NOTISSUE
I bought this phone as a replacement for my StarTac and have regretted it since.;ISSUE
Appears to actually outperform the original battery from China that came with my V325i.;NOTISSUE
Ca notstore anything but phone numbers to SIM.;ISSUE
It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.;ISSUE
Poor quality.;ISSUE
"jabra ear gels ""R"" the best!.";NOTISSUE
Not worth it.;ISSUE
The phone crashed completely and now I have to get it replaced.;ISSUE
It quit working after I had used it for about 18 months, so I just purchased another one because this is the best headset I have ever owned.;NOTISSUE
Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).;ISSUE
It was a great phone.;NOTISSUE
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.;ISSUE
Good value, works fine - power via USB, car, or wall outlet.;NOTISSUE
My phone does notslide around my car now and the grip prevents my phone from slipping out of my hand.;NOTISSUE
This is simply the BEST bluetooth headset for sound quality!;NOTISSUE
Think it over when you plan to own this one!This sure is the last MOTO phone for me!;ISSUE
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?";NOTISSUE
I have always used corded headsets and the freedom from the wireless is very helpful.;NOTISSUE
This case has passed the one year mark and while it shows signs of wear, it is 100% functional.;NOTISSUE
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.";NOTISSUE
It has everything I need and I could notask for more.;NOTISSUE
After receiving and using the product for just 2 days it broke.;ISSUE
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.;NOTISSUE
None of the three sizes they sent with the headset would stay in my ears.;ISSUE
T-Mobile has the best customer service anywhere.;NOTISSUE
Arrived quickly and much less expensive than others being sold.;NOTISSUE
We have tried 2 units and they both failed within 2 months.. Pros;ISSUE
Provides good protection and looks classy, too.;NOTISSUE
Krussel Always good.;NOTISSUE
The tracfonewebsite is user friendly and makes it easy toactivate, etc.;NOTISSUE
The design is very good.4.;NOTISSUE
I great reception all the time.;NOTISSUE
I would highly recommend this product.;NOTISSUE
Could notuse the unit with sunglasses, not good in Texas!;ISSUE
It dit not work most of the time with my Nokia 5320.;ISSUE
Bought mainly for the charger, which broke soon after purchasing.;ISSUE
If you like a loud buzzing to override all your conversations, then this phone is for you!;NOTISSUE
Fantastic buy and will get again for whatever my next phone is;NOTISSUE
stay away from this store, be careful.;ISSUE
This BlueAnt Supertooth hands-free phone speaker is AWESOME.;NOTISSUE
Item arrived quickly and works great with my  phone and Sound in ear plugs.;NOTISSUE
It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.;NOTISSUE
disappointing.;ISSUE
Blue Ant is easy to use.;NOTISSUE
Cheap but hey it works.;NOTISSUE
 Was pleasantly suprised given the low cost of this item.;NOTISSUE
The camera on the phone may be used as a dustpan when indoors... I had rather be using a disposable then this.;ISSUE
Then a few days later the a puff of smoke came out of the phone while in use.;ISSUE
It is very convenient and simple to use - gets job done & makes the car ride so much smoother.;NOTISSUE
The nano stated it.My son was dissapointed.;ISSUE
The sound quality is excellent as well.;ISSUE
Its the best headset I have used.;NOTISSUE
Would not reccommend.;ISSUE
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.;NOTISSUE
Just what I wanted.;NOTISSUE
This particular model would not work with my Motorola Q smartphone.;ISSUE
wont work right or atleast for me.;ISSUE
"in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.";ISSUE
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.";ISSUE
I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good;ISSUE
Crisp and Clear.;NOTISSUE
AFter the first charge kept going dead after 12 minutes.;ISSUE
VERY cheap plastic, creaks like an old wooden floor.;ISSUE
I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.;ISSUE
The reception has been generally good.;NOTISSUE
Excellent sound, battery life and inconspicuous to boot!.;NOTISSUE
Great bluetooth!.;NOTISSUE
I highly recommend this case.;NOTISSUE
WORTHWHILE.;NOTISSUE
After my phone got to be about a year old, it is been slowly breaking despite much care on my part.;ISSUE
I am sorry I made this purchase.;ISSUE
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.;ISSUE
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.;ISSUE
It was horrible!.;ISSUE
This allows the possibility of double booking for the same date and time after the first. ;ISSUE
They work about 2 weeks then break.;ISSUE
I do notthink it would hold it too securly on your belt.;NOTISSUE
It is simple to use and I like it.;NOTISSUE
It is a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!;NOTISSUE
I ca notuse this case because the smell is disgusting.;ISSUE
NOT WHAT I WANTED.;ISSUE
I own 2 of these cases and would order another.;NOTISSUE
I bought this battery with a coupon from Amazon and I am very happy with my purchase.;NOTISSUE
The internet access was fine, it the rare instance that it worked.;ISSUE
Perfect for the PS3.;NOTISSUE
Five star Plus, plus.;NOTISSUE
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end could nothear me.;NOTISSUE
$50 Down the drain.;ISSUE
I tried talking real loud but shouting on the telephone gets old and I was still told it was notgreat.;ISSUE
Good , works fine.;NOTISSUE
For the price this was a great deal.;NOTISSUE
Great price, too!;NOTISSUE
If there is a wind, it is completely useless.;ISSUE
Yes it is shiny on front side - and I love it!;NOTISSUE
Does Not Work.;ISSUE
At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).;ISSUE
The reception through this headset is excellent.;NOTISSUE
2 thumbs up to this seller;NOTISSUE
I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.;NOTISSUE
Improper description.... I had to return it.;ISSUE
#1 It Works - #2 It is Comfortable.;NOTISSUE
Battery charge-life is quite long.;NOTISSUE
The Jabra EarGels fit my ears very well.;NOTISSUE
Battery has no life.;NOTISSUE
I checked everywhere and there is no feature for it which is really disappointing.;ISSUE
Product is exactly as described.;NOTISSUE
Gets a signal when other Verizon phones wo not.;NOTISSUE
Does notdo the job.;ISSUE
I would recommend it.;NOTISSUE
Plan on ordering from them again and again.;NOTISSUE
That being said, for a phone, the camera is very nice , many cool effects to play with, and video is decent as well.;NOTISSUE
I have been very satisfied with this cell phone from day one.;NOTISSUE
They keep getting better and better (this is my third one and I have had numerous Palms too).;NOTISSUE
Awkward to use and unreliable.;ISSUE
The shipping time was also very quick!;ISSUE
Not as good as I had hoped.;ISSUE
Good case!.;NOTISSUE
Does notWork.;ISSUE
Really good product.;NOTISSUE
Unfortunately it did not work.;ISSUE
All three broke within two months of use.;ISSUE
dont buy it.;ISSUE
My father has the V265, and the battery is dying.;ISSUE
However, the ear pads come off easily and after only one week I lost one.;ISSUE
The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.;ISSUE
Horrible, horrible protector.;ISSUE
I do notlike this Nokia either.;ISSUE
Reaching for the bottom row is uncomfortable;ISSUE
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.;ISSUE
It would take too long to describe how bad my customer service experience has been with Amazon.;ISSUE
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!;ISSUE
Terrible.. My car will not accept this cassette.;ISSUE
Product is useless, since it does not have enough charging current to charge the 2 cellphones.;ISSUE
It is not what it says it is.;ISSUE
Stay Away From the Q!.;ISSUE
Used and dirty.;ISSUE
Very unreliable service from T-mobile !;ISSUE
Not good enough for the price.;ISSUE
I bought two of them and neither will charge.;ISSUE
It looks very nice.;NOTISSUE
This is an excellent tool, especially when paired with your phone is auto-answer.;NOTISSUE
I have read other is reviews here but I have nothad any problem with it.;NOTISSUE
These products cover up the important light sensor above the ear outlet.;ISSUE
Comfortable in my hand.;NOTISSUE
Just does not work.;ISSUE
Poor Reliability.;ISSUE
It works!;NOTISSUE
If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.;ISSUE
Terrible product, and waste of money!;ISSUE
Last time buying from you.;ISSUE
It was a waste of my money.;ISSUE
So far it has worked like a charm.;NOTISSUE
I have only had it for a few weeks, but so far, so good.;NOTISSUE
But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.;NOTISSUE
Would recommend this item.;NOTISSUE
"It is been my choice headset for years.Great sound; good volume; good noise cancellation.";NOTISSUE
Nice case, feels good in your hands.;NOTISSUE
The item received was Counterfeit.;ISSUE
Just really good.. So far, probably the best BT headset I have ever had.;NOTISSUE
Works fine.;NOTISSUE
I received my headset in good time and was happy with it.;NOTISSUE
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.;NOTISSUE
My sister has one also and she loves it.;NOTISSUE
Good Quality.;NOTISSUE
This is by far the worst purchase I have made on Amazon.;ISSUE
Excellent dual-purpose headset.;NOTISSUE
Excellent!.;NOTISSUE
Does not work for listening to music with the cingular 8125.;ISSUE
It seems completely secure, both holding on to my belt, and keeping the iPhone inside.;NOTISSUE
The bottowm line...another worthless, cheap gimmick from Sprint.;ISSUE
Having trouble with volume.;ISSUE
The only good thing was that it fits comfortably on small ears.;NOTISSUE
WARNING - DO NOT BUY!!.;ISSUE
I am pairing this with my iphone, and I could not be happier with it so far.;NOTISSUE
When it opens, the battery connection is broken and the device is turned off.;ISSUE
I did notwant the clip going over the top of my ear, causing discomfort.;ISSUE
Best headset ever!!!.;NOTISSUE
